JULIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DESCRIPCI?N,G_OFICIAL,FECHA,ENTRA,SALE,SALDO GNRL,PROVISION,DECIMOS,SUELDO_FDO,FALTANTE,,,,,,,,,,,,,,,,,,,,,
SALDOS,Saldo Provisi¢n Conserje mes anterior,,,,,," $9,220.73 ",,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Decimos Conserje mes anterior,,,,,,, $623.05 ,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Diferido,,,, $-   ,,,,,,,,,,,,,,,,,,,,,,,,,,
,Saldo Condominio mes anterior,,," $10,128.95 ",," $10,128.95 ",,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS FIJOS,SUELDO CONSERJE, $407.48 ,10-Jul-2023,, $425.59 ," $9,703.36 ",,,,,,,,,,,,,,,,,,,,,,,,,
,IESS CONSERJE, $97.20 ,,, $-   ," $9,703.36 ",,,,,,,,,,,,,,,,,,,,,,,,,
,FONDOS DE RESERVA CONSERJE, $37.49 ,,, $-   ," $9,703.36 ",,,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO CUARTO 15 AGOSTO, $425.00 ,,, $-   ," $9,703.36 ",,,,,,,,,,,,,,,,,,,,,,,,,
,DECIMO TERCERO 15 DICIEMBRE, $422.92 ,,, $-   ," $9,703.36 ",,,,,,,,,,,,,,,,,,,,,,,,,
,GUARDIAN?A 1.5," $1,098.44 ",,," $1,691.79 "," $8,011.57 ",,,,,,,,,,,,,,,,,,,,,,,,,
,LUZ - EEQ, $22.47 ,,, $77.22 ," $7,934.35 ",,,,,,,,,,,,,,,,,,,,,,,,,
,ADMINISTRADOR , $60.00 ,,, $60.00 ," $7,874.35 ",,,,,,,,,,,,,,,,,,,,,,,,,
,Comision Bancaria, $0.90 ,,, $1.80 ," $7,872.55 ",,,,,,,,,,,,,,,,,,,,,,,,,
,Iva 15%,,,, $0.27 ," $7,872.28 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,872.28 ",,,,,,,,,,,,,,,,,,,,,,,,,
GASTO EVENTUAL,"Cuota 01 Angel Compra Materiales reparacion Ba§os Cancha y transporte ($142,20 / 3 = $47.40)",,,, $47.40 ," $7,824.88 ",,,,,,,,,,,,,,,,,,,,,,,,,
,Gasolina Fernando,,,, $5.28 ," $7,819.60 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,819.60 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,819.60 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,819.60 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,819.60 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,819.60 ",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, $-   ," $7,819.60 ",,,,,,,,,,,,,,,,,,,,,,,,,
INGRESOS,C01 Canelos - PÇrez, $279.57 ,2-Jul-2025, $279.50 , $-   ," $8,099.10 ",,,, $(0.07), $1.62 ,,,,,,,,,,,,,,,,,,,,
,C01 Provisi¢n, $8.02 ,,,,, $8.02 ,,,,,,,,,,,,,,,,,,,,,,,,
,C01 DÇcimos Conserje, $12.79 ,,,,,, $12.79 ,,,,,,,,,,,,,,,,,,,,,,,
,C01 Sueldo Conserje, $65.07 ,,,,,,, $65.07 ,,,,,,,,,,,,,,,,,,,,,,
